County,Market value of agricultural products sold ($1000),Total cropland (acres),,market value of products sold per acre of cropland
Adams,363876.00,745850.00,,0.487867534
Asotin,12907.00,79863.00,,0.161614264
Benton,1005288.00,473064.00,,2.125057075
Chelan,258434.00,29078.00,,8.887612628
Clallam,12026.00,7375.00,,1.630644068
Clark,47702.00,24336.00,,1.960141354
Columbia,30706.00,149535.00,,0.205343231
Cowlitz,18959.00,10959.00,,1.729993613
Douglas,186006.00,544444.00,,0.341643952
Ferry,3914.00,19359.00,,0.202179865
Franklin,631598.00,446820.00,,1.413540128
Garfield,37151.00,182849.00,,0.203178579
Grant,1938897.00,800870.00,,2.420988425
Grays Harbor,33598.00,17112.00,,1.963417485
Island,12002.00,6877.00,,1.745237749
Jefferson,9251.00,3715.00,,2.490174966
King,135464.00,18691.00,,7.247552298
Kitsap,6605.00,2310.00,,2.859307359
Kittitas,83006.00,71053.00,,1.168226535
Klickitat,99159.00,229473.00,,0.432116197
Lewis,136345.00,50497.00,,2.70006139
Lincoln,130237.00,816982.00,,0.159412325
Mason,48532.00,3638.00,,13.34029687
Okanogan,338088.00,98680.00,,3.42610458
Pacific,38877.00,15479.00,,2.511596356
Pend Oreille,4732.00,19013.00,,0.248882344
Pierce,64876.00,12058.00,,5.380328413
San Juan,4119.00,5839.00,,0.705429012
Skagit,287096.00,65721.00,,4.368405837
Skamania,5630.00,2335.00,,2.411134904
Snohomish,157565.00,33575.00,,4.692926284
Spokane,117043.00,378778.00,,0.309001579
Stevens,30194.00,77108.00,,0.39158064
Thurston,176090.00,22109.00,,7.964629789
Wahkiakum,2603.00,5148.00,,0.505633256
Walla Walla,526236.00,565806.00,,0.930064368
Whatcom,372850.00,75555.00,,4.934815697
Whitman,278773.00,1032718.00,,0.269941068
Yakima,1988027.00,343953.00,,5.779937957
